														
Employee Data Provided for the 2015 valuation														
valuation date		1/1/2015												
														
ID	Name	Date of Birth	Date of Hire	2014 Salary	2013 Salary	2012 Salary	Retirement Date	Retirement Benefit	1/1/2015 Status	1/1/2014 Status	Age 	Service 	Average Salary	Salary Increase
123451	Gordon Lee	10/01/1937	07/25/2002				10/01/2002	" 7,800 "	R	R	77.2500	12.4342	  	
123465	Bills Clinton	01/01/1946	07/25/2002				01/01/2011	" 10,349 "	R	R	69.0000	12.4342	  	
123466	Hillary Jordon	07/01/1960	07/25/2002				07/01/2025	" 15,804 "	V	V	54.5000	12.4342	  	
123472	Benjamin Jobs	01/01/1954	07/25/2002				01/01/2019	" 5,840 "	V	A	61.0000	12.4342	  	
123484	George Larson	11/01/1949	07/25/2002				11/01/2014	" 9,625 "	R	A	65.1667	12.4342	  	
123485	Chris Larson	07/01/1944	07/25/2002				07/01/2009	" 18,047 "	R	R	70.5000	12.4342	  	
123486	Eric Wang	01/01/1954	07/25/2002				01/01/2019	" 8,990 "	V	V	61.0000	12.4342	  	
123491	Amanda Shapiro	10/02/1965	04/20/1995	" 250,000 "	" 230,000 "	" 210,000 "			A	A	49.2473	19.6979	" 230,000 "	8.70%
144983	Adrienne Donovan	07/26/1975	01/15/2004	" 99,000 "	" 94,300 "	" 89,800 "			A	A	39.4315	10.9616	" 94,367 "	4.98%
187427	Bret Tiedens	12/16/1957	12/20/2003	" 98,000 "	" 93,300 "	" 88,900 "			A	A	57.0422	11.0313	" 93,400 "	5.04%
189508	Celina Souers	10/05/1982	11/17/1995	" 97,000 "	" 92,400 "	" 88,000 "			A	A	32.2390	19.1228	" 92,467 "	4.98%
199741	Steve Al Jaloud	01/02/1945	05/14/1998	" 96,000 "	" 91,400 "	" 87,100 "			A	A	69.9973	16.6311	" 91,500 "	5.03%
205217	Natalie Butina	03/28/1948	06/17/1995	" 95,000 "	" 90,500 "	" 86,200 "			A	A	66.7594	19.5395	" 90,567 "	4.97%
206418	Nicholas Olson	02/23/1957	11/15/2010	" 320,000 "	" 32,000 "				A	A	57.8564	4.1283	" 176,000 "	900.00%
218201	Michelle Richman	04/22/1943	10/24/1996	" 93,000 "	" 88,600 "	" 84,400 "			A	A	71.6925	18.1870	" 88,667 "	4.97%
225139	Aaron Johnson	01/18/1993	06/14/2012	" 92,000 "	" 40,000 "				A	A	21.9534	2.5477	" 66,000 "	130.00%
232072	Jeanne M Brinkley	07/02/1966	07/05/2008	" 91,000 "	" 86,700 "	" 82,500 "			A	A	48.4973	6.4890	" 86,733 "	4.96%
250067	Roxanne L Brinkley	02/29/1960	09/17/2009	" 90,000 "	" 85,700 "	" 81,600 "			A	A	54.8400	5.2895	" 85,767 "	5.02%
253862	Yuyang Nelson	11/17/1963	06/10/2010	" 89,000 "	" 84,800 "	" 80,700 "			A	A	51.1228	4.5587	" 84,833 "	4.95%
255179	Bill Bossler	12/31/1960	08/19/2011	" 88,000 "	" 83,800 "	" 40,000 "			A	A	54.0011	3.3674	" 70,600 "	5.01%
258130	Scott G Cress	09/26/1979	07/25/2002	" 87,000 "	" 82,900 "	" 78,900 "			A	A	35.2648	12.4342	" 82,933 "	4.95%
286491	Patric Aljebreen	11/08/1943	01/24/1985	" 86,000 "	" 81,900 "	" 78,000 "			A	A	71.1475	29.9370	" 81,967 "	5.01%
290999	Diane M Dehn	02/27/1971	11/22/2013	" 85,000 "	" 2,000 "				A		43.8454	1.1091	" 43,500 "	
300843	Eric Baker	05/06/1948	04/09/1987	" 84,000 "	" 80,000 "	" 76,200 "			A	A	66.6530	27.7281	" 80,067 "	5.00%
302798	Ryan Asche	03/10/1979	11/06/1995	" 300,000 "	" 276,000 "	" 252,000 "			A	A	35.8087	19.1530	" 276,000 "	8.70%
310267	Jerome F Chen	06/04/1964	08/02/2004	" 118,800 "	" 113,100 "	" 107,800 "			A	A	50.5751	10.4139	" 113,233 "	5.04%
313615	Tracy A Gist	08/06/1993	07/07/2004	" 117,600 "	" 112,000 "	" 106,700 "			A	A	21.4030	10.4836	" 112,100 "	5.00%
320387	Jeremy Carlson	08/11/1970	06/04/1996	" 116,400 "	" 110,900 "	" 105,600 "			A	A	44.3893	18.5751	" 110,967 "	4.96%
340436	DeeAnn S Duvall	02/01/1976	11/30/1998	" 115,200 "	" 109,700 "	" 104,500 "			A	A	38.9167	16.0872	" 109,800 "	5.01%
345767	Susann K Gall	04/20/1966	01/03/1996	" 114,000 "	" 108,600 "	" 103,400 "			A	A	48.6979	18.9945	" 108,667 "	4.97%
352244	Susan R Harvestine	07/04/1958	06/04/2013	" 384,000 "	" 38,400 "				A		56.4918	1.5751	" 211,200 "	
357982	Richard G Harada	10/14/1948	05/12/1997	" 111,600 "	" 106,300 "	" 101,200 "			A	A	66.2144	17.6365	" 106,367 "	4.99%
369257	Robert L Guy	12/29/1909	12/31/2012	" 110,400 "	" 48,000 "				A	A	105.0066	2.0011	" 79,200 "	130.00%
375122	Rebecca M Kampwerth	11/22/1948	01/21/2009	" 109,200 "	" 104,000 "	" 99,000 "			A	A	66.1091	5.9452	" 104,067 "	5.00%
406300	Alexis Asche	01/01/1900	04/05/2010	" 108,000 "	" 102,900 "	" 98,000 "			A	A	115.0000	4.7390	" 102,967 "	4.96%
422365	Bruce D Hitpas	09/11/1957	12/27/2010	" 106,800 "	" 101,700 "	" 96,900 "			A	A	57.3059	4.0121	" 101,800 "	5.01%
423109	Casey A Jumaan	05/26/1944	03/06/2012	" 105,600 "	" 100,600 "	" 48,000 "			A	A	70.5982	2.8196	" 84,733 "	4.97%
426223	Alina Donovan	09/15/1971	03/28/1974	" 104,400 "	" 99,400 "	" 94,700 "			A	A	43.2950	40.7594	" 99,500 "	5.03%
