ID	Name	Date of Birth	Date of Hire	2014 Salary	2013 Salary	2012 Salary
123451	                    Gordon Lee	10/01/1937	07/25/2002	0000000	0000000	0000000
123465	                 Bills Clinton	01/01/1946	07/25/2002	0000000	0000000	0000000
123466	                Hillary Jordon	07/01/1960	07/25/2002	0000000	0000000	0000000
123472	                 Benjamin Jobs	01/01/1954	07/25/2002	0000000	0000000	0000000
123484	                 George Larson	11/01/1949	07/25/2002	0000000	0000000	0000000
123485	                  Chris Larson	07/01/1944	07/25/2002	0000000	0000000	0000000
123486	                     Eric Wang	01/01/1954	07/25/2002	0000000	0000000	0000000
123491	                Amanda Shapiro	10/02/1965	04/20/1995	0250000	0230000	0210000
144983	              Adrienne Donovan	07/26/1975	01/15/2004	0099000	0094300	0089800
187427	                  Bret Tiedens	12/16/1957	12/20/2003	0098000	0093300	0088900
189508	                 Celina Souers	10/05/1982	11/17/1995	0097000	0092400	0088000
199741	               Steve Al Jaloud	01/02/1945	05/14/1998	0096000	0091400	0087100
205217	                Natalie Butina	03/28/1948	06/17/1995	0095000	0090500	0086200
206418	                Nicholas Olson	02/23/1957	11/15/2010	0320000	0032000	0000000
218201	              Michelle Richman	04/22/1943	10/24/1996	0093000	0088600	0084400
225139	                 Aaron Johnson	01/18/1993	06/14/2012	0092000	0040000	0000000
232072	             Jeanne M Brinkley	07/02/1966	07/05/2008	0091000	0086700	0082500
250067	            Roxanne L Brinkley	02/29/1960	09/17/2009	0090000	0085700	0081600
253862	                 Yuyang Nelson	11/17/1963	06/10/2010	0089000	0084800	0080700
255179	                  Bill Bossler	12/31/1960	08/19/2011	0088000	0083800	0040000
258130	                 Scott G Cress	09/26/1979	07/25/2002	0087000	0082900	0078900
286491	              Patric Aljebreen	11/08/1943	01/24/1985	0086000	0081900	0078000
290999	                  Diane M Dehn	02/27/1971	11/22/2013	0085000	0002000	0000000
300843	                    Eric Baker	05/06/1948	04/09/1987	0084000	0080000	0076200
302798	                    Ryan Asche	03/10/1979	11/06/1995	0300000	0276000	0252000
310267	                 Jerome F Chen	06/04/1964	08/02/2004	0118800	0113100	0107800
313615	                  Tracy A Gist	08/06/1993	07/07/2004	0117600	0112000	0106700
320387	                Jeremy Carlson	08/11/1970	06/04/1996	0116400	0110900	0105600
340436	               DeeAnn S Duvall	02/01/1976	11/30/1998	0115200	0109700	0104500
345767	                 Susann K Gall	04/20/1966	01/03/1996	0114000	0108600	0103400
352244	            Susan R Harvestine	07/04/1958	06/04/2013	0384000	0038400	0000000
357982	              Richard G Harada	10/14/1948	05/12/1997	0111600	0106300	0101200
369257	                  Robert L Guy	12/29/1909	12/31/2012	0110400	0048000	0000000
375122	           Rebecca M Kampwerth	11/22/1948	01/21/2009	0109200	0104000	0099000
406300	                  Alexis Asche	01/01/1900	04/05/2010	0108000	0102900	0098000
422365	                Bruce D Hitpas	09/11/1957	12/27/2010	0106800	0101700	0096900
423109	                Casey A Jumaan	05/26/1944	03/06/2012	0105600	0100600	0048000
426223	                 Alina Donovan	09/15/1971	03/28/1974	0104400	0099400	0094700
430276	                Austin Carlson	04/13/1980	08/12/1985	0103200	0098300	0093600
430534	                  David L Hohl	11/08/1943	07/25/2002	0102000	0002400	0000000
443913	                Dawn E Jackson	07/21/1945	10/26/1987	0100800	0096000	0091400
446641	                Amanda Shapiro	10/02/1964	05/24/1996	0360000	0331200	0302400
462488	              Jacqueline E Lam	07/19/1961	02/18/2005	0142600	0135700	0129400
472297	                 Aaron Johnson	01/18/1993	01/23/2005	0141100	0134400	0128000
489909	                 Jumaan Nelson	01/18/1967	07/25/2002	0139700	0133100	0126700
489933	                   Luke Larson	08/30/1960	06/18/1999	0138200	0131600	0125400
537613	                 Celina Souers	10/05/1982	07/21/1996	0136800	0130300	0124100
538228	           Yazeed Doll Woolley	04/22/1943	12/21/2013	0460800	0046100	0000000
545776	                  Brian Larson	12/14/1965	11/28/1997	0133900	0127600	0121400
565414	                     Blake Aho	07/27/1959	07/19/2013	0132500	0057600	0000000
570202	               Saleh Klendshoj	06/16/1944	09/17/2009	0090000	0085700	0081600
578408	                 George Bartho	10/19/1947	06/10/2010	0089000	0084800	0080700
579268	                Jessika Benson	06/14/1960	08/19/2011	0088000	0083800	0040000
